movie_title,year,sequel,mpaa_rating,length_min,imdb_rating,metascore,gross_mil,director,director_dem,director_w,director_poc,star1,star1_dem,star_w,star_poc,studio,released,combined_dem,img
Superman,1978,0,PG,143,7.3,80,134.22,Richard Donner,WM,0,0,Christopher Reeve,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/7EcEc5ZqLopzPWUZ4h9NWDJhFf2.jpg
Superman II,1980,1,PG,127,6.8,87,108.19,Richard Lester/Richard Donner,WM,0,0,Gene Hackman,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/jw0tYFCbzjBN8SIhvRC2kdh7pzh.jpg
Superman III,1983,2,PG,125,4.9,44,59.95,Richard Lester,WM,0,0,Christopher Reeve,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/pDjfBk3YkdvRK2VERvoHaXJdNxF.jpg
Supergirl,1984,0,PG,150,4.4,42,13.6,Jeannot Szwarc,WM,0,0,Helen Slater,WF,1,0,DC,1,1,https://image.tmdb.org/t/p/w440_and_h660_face/d1aLbq1pU3NQyJehHnwx3NlOTOq.jpg
Howard the Duck,1986,0,PG,110,4.6,28,16.3,Willard Huyck,WM,0,0,Ed Gale,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/f2pj3SSj1GdFSrS5bUojT56umL6.jpg
Superman IV,1987,3,PG,90,3.7,24,15.68,Sidney J. Furie,WM,0,0,Christopher Reeve,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/asLqnIPB1QFQB4QnUYFjXsvaIep.jpg
Batman,1989,0,PG-13,126,7.5,69,251.19,Tim Burton,WM,0,0,Michael Keaton,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/e0nAbNMdTwxOfqcGznEsAdWG2mO.jpg
Batman Returns,1992,1,PG-13,126,7,68,162.83,Tim Burton,WM,0,0,Michael Keaton,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/jKBjeXM7iBBV9UkUcOXx3m7FSHY.jpg
Batman Forever,1995,2,PG-13,121,5.4,51,184.03,Joel Schumacher,WM,0,0,Val Kilmer,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg
Batman & Robin,1997,3,PG-13,125,3.7,28,107.33,Joel Schumacher,WM,0,0,Arnold Schwarzenegger,WM,0,0,DC,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/79AYCcxw3kSKbhGpx1LiqaCAbwo.jpg
Blade,1998,0,R,120,7.1,45,70.09,Stephen Norrington,WM,0,0,Wesley Snipes,BM,0,1,Marvel,1,2,https://image.tmdb.org/t/p/w440_and_h660_face/hEXJCBVZYWT8qBMwGJoSsvtnVhr.jpg
X-Men,2000,0,PG-13,104,7.4,64,157.3,Bryan Singer,WM,0,0,Patrick Steward,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/k01Q6ATbfzNJgw4Zuoj0LTY3T9x.jpg
Spider-Man,2002,0,PG-13,121,7.3,73,403.71,Sam Raimi,WM,0,0,Tobey Maguire,WM,0,0,Marvel,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/rZd0y1X1Gw4t5B3f01Qzj8DYY66.jpg
Blade II,2002,1,R,117,6.7,52,82.35,Guillermo del Toro,WM,0,0,Wesley Snipes,BM,0,1,Marvel,1,2,https://image.tmdb.org/t/p/w440_and_h660_face/jlURNpXCMK830CsGRd939PJLh8c.jpg
X-Men 2,2003,1,PG-13,134,7.5,68,214.95,Bryan Singer,WM,0,0,Patrick Steward,WM,0,0,X-Men,1,0,https://image.tmdb.org/t/p/w440_and_h660_face/fdmZ0uHWDQzb6atNTaOQdfdQd9X.jpg
